archivo,40 - 50,30 - 40,20 - 30,0 - 10,%
002.bmp,0,0,0,0,0
003.bmp,0,0,0,0,0
004.bmp,0,0,0,0,0
005.bmp,0,0,0,0,0
006.bmp,0,0,0,0,0
007.bmp,0,0,0,0,0
008.bmp,0,0,0,0,0
009.bmp,0,0,0,0,0
010.bmp,0,0,0,0,0
011.bmp,0,0,0,0,0
012.bmp,0,0,0,0,0
013.bmp,0,0,0,0,0
014.bmp,0,0,0,0,0
015.bmp,0,0,0,0,0
016.bmp,0,0,0,0,0
017.bmp,0,0,0,0,0
018.bmp,0,0,0,0,0
019.bmp,0,0,0,0,0
020.bmp,0,0,0,0,0
021.bmp,0,0,0,0,0
022.bmp,0,0,0,0,0
023.bmp,0,0,0,0,0
024.bmp,0,0,0,0,0
025.bmp,0,0,0,0,0
026.bmp,0,0,0,0,0
032.bmp,0,0,0,0,0
033.bmp,0,0,0,0,0
034.bmp,0,0,0,0,0
035.bmp,0,0,0,0,0
036.bmp,0,0,0,0,0
037.bmp,0,0,0,0,0
038.bmp,0,0,0,0,0
039.bmp,0,0,0,0,0
040.bmp,0,0,0,0,0
041.bmp,0,0,0,0,0
042.bmp,0,0,0,0,0
043.bmp,0,0,0,0,0
044.bmp,0,0,0,0,0
045.bmp,0,0,0,0,0
046.bmp,0,0,0,0,0
047.bmp,0,0,0,0,0
048.bmp,0,0,0,0,0
049.bmp,0,0,0,0,0
050.bmp,0,0,0,0,0
051.bmp,0,0,0,0,0
052.bmp,0,0,0,0,0
053.bmp,0,0,0,0,0
054.bmp,0,0,0,0,0
055.bmp,0,0,0,0,0
056.bmp,0,0,0,0,0
057.bmp,0,0,0,0,0
058.bmp,0,0,0,0,0
059.bmp,0,0,0,0,0
060.bmp,0,0,0,0,0
061.bmp,0,0,0,0,0
062.bmp,0,0,0,0,0
063.bmp,0,0,0,0,0
064.bmp,0,0,0,0,0
065.bmp,0,0,0,0,0
066.bmp,0,0,0,0,0
067.bmp,0,0,0,0,0
068.bmp,0,0,0,0,0
069.bmp,0,0,0,0,0
070.bmp,0,0,0,0,0
071.bmp,0,0,0,0,0
072.bmp,0,0,0,0,0
073.bmp,0,0,0,0,0
074.bmp,0,0,0,0,0
075.bmp,0,0,0,0,0
076.bmp,0,0,0,0,0
077.bmp,0,0,0,0,0
078.bmp,0,0,0,0,0
079.bmp,0,0,0,0,0
080.bmp,0,0,0,0,0
081.bmp,0,0,0,0,0
082.bmp,0,0,0,0,0
083.bmp,0,0,0,0,0
084.bmp,0,0,0,0,0
085.bmp,0,0,0,0,0
086.bmp,0,0,0,0,0
087.bmp,0,0,0,0,0
088.bmp,0,0,0,0,0
089.bmp,0,0,0,0,0
090.bmp,0,0,0,0,0
091.bmp,0,0,0,0,0
092.bmp,0,0,0,0,0
093.bmp,0,0,0,0,0
094.bmp,0,0,0,0,0
095.bmp,0,0,0,0,0
096.bmp,0,0,0,0,0
099.bmp,0,0,0,0,0
100.bmp,0,0,0,0,0
101.bmp,0,0,0,0,0
102.bmp,0,0,0,0,0
103.bmp,0,0,0,0,0
104.bmp,0,0,0,0,0
106.bmp,0,0,0,0,0
107.bmp,0,0,0,0,0
108.bmp,0,0,0,0,0
109.bmp,0,0,0,0,0
110.bmp,0,0,0,0,0
111.bmp,0,0,0,0,0
112.bmp,0,0,0,0,0
113.bmp,0,0,0,0,0
114.bmp,0,0,0,0,0
115.bmp,0,0,0,0,0
116.bmp,0,0,0,0,0
117.bmp,0,0,0,0,0
118.bmp,0,0,0,0,0
119.bmp,0,0,0,0,0
120.bmp,0,0,0,0,0
121.bmp,0,0,0,0,0
122.bmp,0,0,0,0,0
123.bmp,0,0,0,0,0
124.bmp,0,0,0,0,0
125.bmp,0,0,0,0,0
126.bmp,0,0,0,0,0
127.bmp,0,0,0,0,0
128.bmp,0,0,0,0,0
129.bmp,0,0,0,0,0
130.bmp,0,0,0,0,0
133.bmp,0,0,0,0,0
134.bmp,0,0,0,0,0
135.bmp,0,0,0,0,0
136.bmp,0,0,0,0,0
137.bmp,0,0,0,0,0
138.bmp,0,0,0,0,0
139.bmp,0,0,0,0,0
140.bmp,0,0,0,0,0
141.bmp,0,0,0,0,0
142.bmp,0,0,0,0,0
143.bmp,0,0,0,0,0
144.bmp,0,0,0,0,0
145.bmp,0,0,0,0,0
146.bmp,0,0,0,0,0
147.bmp,0,0,0,0,0
148.bmp,0,0,0,0,0
149.bmp,0,0,0,0,0
150.bmp,0,0,0,0,0
151.bmp,0,0,0,0,0
152.bmp,0,0,0,0,0
153.bmp,0,0,0,0,0
154.bmp,0,0,0,0,0
155.bmp,0,0,0,0,0
156.bmp,0,0,0,0,0
157.bmp,0,0,0,0,0
158.bmp,0,0,0,0,0
159.bmp,0,0,0,0,0
160.bmp,0,0,0,0,0
161.bmp,0,0,0,0,0
162.bmp,0,0,0,0,0
163.bmp,0,0,0,0,0
164.bmp,0,0,0,0,0
165.bmp,0,0,0,0,0
166.bmp,0,0,0,0,0
167.bmp,0,0,0,0,0
168.bmp,0,0,0,0,0
169.bmp,0,0,0,0,0
173.bmp,0,0,0,0,0
174.bmp,0,0,0,0,0
175.bmp,0,0,0,0,0
176.bmp,0,0,0,0,0
177.bmp,0,0,0,0,0
178.bmp,0,0,0,0,0
179.bmp,0,0,0,0,0
180.bmp,0,0,0,0,0
181.bmp,0,0,0,0,0
182.bmp,0,0,0,0,0
183.bmp,0,0,0,0,0
184.bmp,0,0,0,0,0
185.bmp,0,0,0,0,0
186.bmp,0,0,0,0,0
187.bmp,0,0,0,0,0
188.bmp,0,0,0,0,0
189.bmp,0,0,0,0,0
190.bmp,0,0,0,0,0
191.bmp,0,0,0,0,0
192.bmp,0,0,0,0,0
193.bmp,0,0,0,0,0
194.bmp,0,0,0,0,0
195.bmp,0,0,0,0,0
196.bmp,0,0,0,0,0
197.bmp,0,0,0,0,0
198.bmp,0,0,0,0,0
199.bmp,0,0,0,0,0
200.bmp,0,0,0,0,0
201.bmp,0,0,0,0,0
202.bmp,0,0,0,0,0
203.bmp,0,0,0,0,0
204.bmp,0,0,0,0,0
205.bmp,0,0,0,0,0
206.bmp,0,0,0,0,0
207.bmp,0,0,0,0,0
208.bmp,0,0,0,0,0
209.bmp,0,0,0,0,0
210.bmp,0,0,0,0,0
214.bmp,23.55,76.45,0.0,0.0,13.45
215.bmp,22.2,77.8,0.0,0.0,13.41
216.bmp,20.44,79.56,0.0,0.0,13.39
217.bmp,22.69,77.31,0.0,0.0,13.43
218.bmp,22.51,77.49,0.0,0.0,13.43
219.bmp,21.52,78.48,0.0,0.0,13.37
220.bmp,21.6,78.4,0.0,0.0,13.39
221.bmp,20.82,79.18,0.0,0.0,13.22
222.bmp,21.05,78.95,0.0,0.0,13.38
223.bmp,19.61,80.39,0.0,0.0,13.63
224.bmp,19.07,80.93,0.0,0.0,13.54
225.bmp,18.54,81.46,0.0,0.0,13.56
226.bmp,17.83,82.17,0.0,0.0,13.73
227.bmp,16.99,83.01,0.0,0.0,13.82
228.bmp,16.67,83.33,0.0,0.0,13.91
229.bmp,16.77,83.23,0.0,0.0,13.88
230.bmp,16.39,83.61,0.0,0.0,13.93
231.bmp,15.63,84.37,0.0,0.0,13.99
232.bmp,14.26,85.74,0.0,0.0,14.09
233.bmp,14.41,85.59,0.0,0.0,14.06
234.bmp,14.0,86.0,0.0,0.0,14.09
235.bmp,12.62,87.38,0.0,0.0,14.09
236.bmp,12.39,87.61,0.0,0.0,14.05
237.bmp,11.15,88.85,0.0,0.0,14.03
238.bmp,10.78,89.22,0.0,0.0,14.1
239.bmp,9.65,90.35,0.0,0.0,14.14
240.bmp,9.79,90.21,0.0,0.0,13.98
241.bmp,11.2,88.8,0.0,0.0,14.0
242.bmp,8.66,91.34,0.0,0.0,13.9
243.bmp,8.71,91.29,0.0,0.0,14.1
244.bmp,8.38,91.62,0.0,0.0,14.29
245.bmp,7.96,92.04,0.0,0.0,14.42
246.bmp,6.2,93.8,0.0,0.0,14.96
247.bmp,5.1,94.9,0.0,0.0,15.06
248.bmp,5.55,94.45,0.0,0.0,15.23
249.bmp,5.35,94.65,0.0,0.0,15.17
250.bmp,5.14,94.86,0.0,0.0,15.23
251.bmp,5.08,94.92,0.0,0.0,15.21
252.bmp,5.26,94.74,0.0,0.0,15.29
253.bmp,4.9,95.1,0.0,0.0,14.96
254.bmp,4.72,95.28,0.0,0.0,14.78
255.bmp,5.04,94.96,0.0,0.0,15.01
256.bmp,29.38,70.62,0.0,0.0,10.82
257.bmp,26.32,73.68,0.0,0.0,10.69
258.bmp,26.95,73.05,0.0,0.0,10.83
259.bmp,27.78,72.22,0.0,0.0,10.84
260.bmp,26.93,73.07,0.0,0.0,10.84
261.bmp,26.86,73.14,0.0,0.0,10.85
262.bmp,28.05,71.95,0.0,0.0,10.8
263.bmp,28.04,71.96,0.0,0.0,10.87
264.bmp,27.09,72.91,0.0,0.0,10.62
265.bmp,28.68,71.32,0.0,0.0,10.82
266.bmp,27.93,72.07,0.0,0.0,10.84
267.bmp,27.49,72.51,0.0,0.0,10.84
268.bmp,28.42,71.58,0.0,0.0,10.77
269.bmp,28.81,71.19,0.0,0.0,10.8
270.bmp,29.12,70.88,0.0,0.0,10.8
271.bmp,27.84,72.16,0.0,0.0,10.81
272.bmp,27.77,72.23,0.0,0.0,10.85
273.bmp,27.32,72.68,0.0,0.0,10.88
274.bmp,27.52,72.48,0.0,0.0,10.86
275.bmp,27.89,72.11,0.0,0.0,10.88
276.bmp,28.49,71.51,0.0,0.0,10.86
277.bmp,29.56,70.44,0.0,0.0,10.92
278.bmp,28.14,71.86,0.0,0.0,10.93
279.bmp,28.56,71.44,0.0,0.0,10.91
280.bmp,28.34,71.66,0.0,0.0,11.01
281.bmp,27.16,72.84,0.0,0.0,10.93
282.bmp,27.79,72.21,0.0,0.0,10.95
283.bmp,28.31,71.69,0.0,0.0,10.9
284.bmp,28.04,71.96,0.0,0.0,10.99
285.bmp,28.83,71.17,0.0,0.0,10.83
286.bmp,27.92,72.08,0.0,0.0,11.02
287.bmp,26.95,73.05,0.0,0.0,10.84
288.bmp,28.21,71.79,0.0,0.0,10.99
289.bmp,27.81,72.19,0.0,0.0,11.03
290.bmp,28.98,71.02,0.0,0.0,11.01
291.bmp,5.91,94.09,0.0,0.0,14.52
292.bmp,4.49,95.51,0.0,0.0,14.61
293.bmp,4.37,95.63,0.0,0.0,14.52
294.bmp,4.49,95.51,0.0,0.0,14.44
295.bmp,4.16,95.84,0.0,0.0,14.13
296.bmp,3.81,96.19,0.0,0.0,13.9
297.bmp,4.21,95.79,0.0,0.0,14.13
298.bmp,3.89,96.11,0.0,0.0,14.0
299.bmp,4.52,95.48,0.0,0.0,13.87
300.bmp,4.35,95.65,0.0,0.0,13.6
301.bmp,4.53,95.47,0.0,0.0,13.52
302.bmp,5.03,94.97,0.0,0.0,12.52
303.bmp,5.29,94.71,0.0,0.0,12.38
304.bmp,5.46,94.54,0.0,0.0,12.18
305.bmp,5.25,94.75,0.0,0.0,12.41
306.bmp,5.08,94.92,0.0,0.0,12.29
307.bmp,4.85,95.15,0.0,0.0,11.93
308.bmp,4.87,95.13,0.0,0.0,12.08
309.bmp,5.08,94.92,0.0,0.0,12.04
310.bmp,5.24,94.76,0.0,0.0,12.13
311.bmp,6.28,93.72,0.0,0.0,11.64
312.bmp,6.16,93.84,0.0,0.0,11.56
313.bmp,5.82,94.18,0.0,0.0,11.57
314.bmp,6.06,93.94,0.0,0.0,11.58
315.bmp,6.51,93.49,0.0,0.0,11.44
316.bmp,5.79,94.21,0.0,0.0,11.33
317.bmp,7.03,92.97,0.0,0.0,11.15
318.bmp,7.29,92.71,0.0,0.0,11.17
319.bmp,6.28,93.72,0.0,0.0,11.02
320.bmp,7.52,92.48,0.0,0.0,10.61
321.bmp,7.65,92.35,0.0,0.0,10.53
322.bmp,8.72,91.28,0.0,0.0,10.49
323.bmp,9.49,90.51,0.0,0.0,10.45
324.bmp,8.99,91.01,0.0,0.0,10.51
325.bmp,8.07,91.93,0.0,0.0,10.48
326.bmp,10.22,89.78,0.0,0.0,10.09
327.bmp,8.78,91.22,0.0,0.0,10.1
328.bmp,8.61,91.39,0.0,0.0,9.96
f068.bmp,100.0,0.0,0.0,0.0,0.86
f069.bmp,100.0,0.0,0.0,0.0,1.26
f070.bmp,100.0,0.0,0.0,0.0,1.97
f071.bmp,100.0,0.0,0.0,0.0,1.97
f072.bmp,100.0,0.0,0.0,0.0,2.52
f073.bmp,100.0,0.0,0.0,0.0,1.49
f074.bmp,100.0,0.0,0.0,0.0,1.9
f075.bmp,100.0,0.0,0.0,0.0,1.7
f076.bmp,100.0,0.0,0.0,0.0,1.71
f077.bmp,100.0,0.0,0.0,0.0,1.34
f078.bmp,100.0,0.0,0.0,0.0,1.08
f079.bmp,100.0,0.0,0.0,0.0,0.06
f080.bmp,100.0,0.0,0.0,0.0,0.02
f081.bmp,100.0,0.0,0.0,0.0,0.76
f082.bmp,0,0,0,0,0
f083.bmp,100.0,0.0,0.0,0.0,0.0
f084.bmp,100.0,0.0,0.0,0.0,0.24
f085.bmp,0,0,0,0,0
f086.bmp,0,0,0,0,0
f087.bmp,0,0,0,0,0
f088.bmp,0,0,0,0,0
f089.bmp,0,0,0,0,0
f090.bmp,0,0,0,0,0
f091.bmp,0,0,0,0,0
f092.bmp,0,0,0,0,0
f093.bmp,0,0,0,0,0
f094.bmp,0,0,0,0,0
f095.bmp,0,0,0,0,0
r030.bmp,20.75,79.25,0.0,0.0,12.38
r031.bmp,22.78,77.22,0.0,0.0,12.96
r032.bmp,24.11,75.89,0.0,0.0,13.3
r033.bmp,23.76,76.24,0.0,0.0,13.23
r034.bmp,24.45,75.55,0.0,0.0,13.41
r035.bmp,24.66,75.34,0.0,0.0,13.59
r036.bmp,24.59,75.41,0.0,0.0,13.64
r037.bmp,25.04,74.96,0.0,0.0,13.74
r038.bmp,25.16,74.84,0.0,0.0,13.91
r039.bmp,24.96,75.04,0.0,0.0,13.83
r040.bmp,25.77,74.23,0.0,0.0,13.97
r041.bmp,25.0,75.0,0.0,0.0,13.86
r042.bmp,25.23,74.77,0.0,0.0,14.2
r043.bmp,25.52,74.48,0.0,0.0,14.34
r044.bmp,24.72,75.28,0.0,0.0,14.44
r045.bmp,24.46,75.54,0.0,0.0,14.27
r046.bmp,24.42,75.58,0.0,0.0,14.35
r047.bmp,23.24,76.76,0.0,0.0,14.46
r048.bmp,22.63,77.37,0.0,0.0,14.48
r049.bmp,21.75,78.25,0.0,0.0,14.4
r050.bmp,19.66,80.34,0.0,0.0,14.1
r051.bmp,18.12,81.88,0.0,0.0,13.87
r052.bmp,18.74,81.26,0.0,0.0,14.37
r053.bmp,17.85,82.15,0.0,0.0,14.19
r054.bmp,18.37,81.63,0.0,0.0,14.02
r055.bmp,16.57,83.43,0.0,0.0,13.45
r056.bmp,16.91,83.09,0.0,0.0,13.67
r057.bmp,14.62,85.38,0.0,0.0,13.65
r058.bmp,14.28,85.72,0.0,0.0,13.85
r059.bmp,13.35,86.65,0.0,0.0,13.52
